When replacing a builtin wrestler with an edit wrestler not all palette values are supported. In an edit wrestler all 34 RGB values can be set independently. This is not the case for builtin wrestlers which have a limited number of predefined RGB values to select from. binedit.py tries to find the closest palette match, but if that isn't good enough it is recommended to change your edited wrestlers to use from the following palettes.

The 34 RGB palettes are broken into 10 parts of size 4, 3, 3, 3, 3, 3, 5, 3, 3, and 4 respectively. In the edit wrestler screen you can see the RGB palette parts that are connected because they will have a white line underneath joining them together. Replace your edited wrestlers RGB values with one of the following for each RGB palette components to ensure exact palettes are used.

Palette component 0 (4 RGB values)
0x0 [(31, 24, 18), (28, 18, 12), (19, 11, 9), (12, 6, 4)]
0x1 [(30, 22, 16), (28, 16, 10), (18, 10, 8), (12, 6, 4)]
0x2 [(30, 22, 16), (28, 16, 10), (19, 11, 9), (12, 6, 4)]
0x3 [(30, 21, 15), (26, 15, 9), (18, 9, 7), (12, 6, 4)]
0x4 [(30, 22, 16), (26, 15, 9), (18, 9, 7), (12, 6, 4)]
0x5 [(30, 23, 17), (26, 15, 9), (18, 9, 7), (10, 4, 2)]
0x6 [(16, 14, 28), (12, 10, 22), (8, 6, 18), (4, 2, 12)]
0x7 [(8, 8, 30), (2, 2, 24), (0, 0, 14), (0, 0, 9)]
0x8 [(22, 4, 4), (16, 2, 2), (11, 2, 5), (6, 0, 3)]
0x9 [(31, 26, 20), (28, 20, 16), (20, 12, 10), (12, 6, 4)]
0xa [(31, 25, 19), (28, 20, 14), (20, 14, 12), (12, 6, 4)]
0xb [(31, 23, 18), (28, 18, 12), (19, 11, 9), (12, 6, 4)]
0xc [(22, 16, 12), (18, 10, 8), (12, 8, 6), (8, 4, 2)]
0xd [(31, 24, 18), (28, 18, 12), (18, 10, 8), (12, 6, 4)]
0xe [(31, 23, 18), (28, 18, 12), (20, 12, 9), (13, 7, 4)]
0xf [(31, 24, 18), (28, 18, 12), (19, 11, 9), (11, 5, 3)]
0x10 [(28, 20, 14), (24, 14, 8), (16, 10, 8), (10, 6, 4)]
0x11 [(28, 26, 24), (22, 20, 18), (16, 14, 12), (10, 8, 6)]
0x12 [(30, 22, 18), (26, 18, 14), (20, 12, 8), (12, 8, 4)]
0x13 [(31, 24, 18), (28, 18, 12), (20, 12, 10), (12, 6, 4)]
0x14 [(24, 20, 12), (18, 14, 8), (14, 10, 4), (10, 8, 4)]
0x15 [(22, 22, 24), (16, 16, 18), (12, 12, 15), (8, 8, 10)]
0x16 [(26, 14, 26), (22, 10, 22), (16, 6, 16), (12, 4, 12)]
0x17 [(14, 18, 28), (10, 14, 24), (6, 10, 20), (2, 6, 16)]
0x18 [(20, 26, 12), (14, 20, 6), (8, 14, 4), (4, 10, 2)]
0x19 [(28, 16, 20), (22, 12, 16), (16, 8, 12), (12, 4, 8)]
0x1a [(31, 24, 18), (28, 16, 12), (18, 10, 8), (12, 6, 4)]
0x1b [(31, 24, 18), (28, 20, 16), (20, 12, 10), (12, 6, 4)]
0x1c [(16, 16, 16), (22, 22, 22), (28, 28, 28), (2, 2, 2)]
0x1d [(5, 5, 5), (8, 8, 8), (12, 0, 0), (18, 2, 2)]
